status	path	src_sha256	program_src_sha256	notes
same	patches/Makefile	47ca308d7258c8f700f1afbccd21babf067a46bd9eb05716d05b5fdc40c04112	47ca308d7258c8f700f1afbccd21babf067a46bd9eb05716d05b5fdc40c04112	none
different	patches/Manalink/Patch.pm	42bc869c8c2ba7eb359e133aa8e2386ab1a7260bef0344624c07722e97d8e62d	6304d41aef468b0963d92ef5c5b80904c95a8df6a372e7a59d92cd5e6dc389dc	none
same	patches/patch.h	287566dc25c12c5ddcdc195f2355587032a2c00efaa773fb45583a4a726c07de	287566dc25c12c5ddcdc195f2355587032a2c00efaa773fb45583a4a726c07de	none
same	patches/patch_ai_opinion_defender.pl	d2e414a215761b0fd6efc3dbdd3af8c1cac3038b501dd5d9fcb2d7b472ba8493	d2e414a215761b0fd6efc3dbdd3af8c1cac3038b501dd5d9fcb2d7b472ba8493	none
same	patches/patch_always_dispatch_events.pl	8a5f9e5dafc5217381152554b2853307565949ab270ee0b58e339e4d9f547753	8a5f9e5dafc5217381152554b2853307565949ab270ee0b58e339e4d9f547753	none
same	patches/patch_always_set_tapped_for_mana_color.pl	46a6f1d23f1b4f24e49ce8a6584eab8d1c0807cd03f60af142510059fb590b70	46a6f1d23f1b4f24e49ce8a6584eab8d1c0807cd03f60af142510059fb590b70	none
same	patches/patch_attach_equipment.pl	9e049819e8c1b6b586884bfb679895f5130ccbcbcbaa8337344f4ad60f481308	9e049819e8c1b6b586884bfb679895f5130ccbcbcbaa8337344f4ad60f481308	none
same	patches/patch_autotap_artifacts_and_creatures.pl	46507e1fb324311bca9a98a7806d1810ed77508e1878bb758c83b25680e4ec48	46507e1fb324311bca9a98a7806d1810ed77508e1878bb758c83b25680e4ec48	none
same	patches/patch_change_ai_time.pl	61488bcb2062d3191b5c362964c30071ca74ab577a693f49d014e8455213d8f9	61488bcb2062d3191b5c362964c30071ca74ab577a693f49d014e8455213d8f9	none
same	patches/patch_change_ai_time_540.c	52c9ab7f9229f98ba8d732f2e801bef710d08cdeb43308ded1e6a8c269c4a0b0	52c9ab7f9229f98ba8d732f2e801bef710d08cdeb43308ded1e6a8c269c4a0b0	none
