path	language	area	bytes	lines
tools/check-source-snapshot-parity.sh	shell	tooling	8448	266
tools/create-cleanup-test-copy.sh	shell	tooling	3620	144
tools/create-git-handoff-bundle.sh	shell	tooling	5726	192
tools/create-patch-package.sh	shell	tooling	6513	203
tools/create-security-scan-results-template.sh	shell	tooling	1748	70
tools/list-branch-delta.sh	shell	tooling	4506	182
tools/list-security-scan-targets.sh	shell	tooling	1125	47
tools/patch-ai-decision-clamp.py	Python	tooling	7300	215
tools/patch-ai-decision-fallback.py	Python	tooling	4518	135
tools/patch-ai-raw-mana-snapshot.py	Python	tooling	7855	238
tools/patch-magic-coinflip-default.py	Python	tooling	3383	110
tools/patch-manalink-generic-damage-prevention-guard.py	Python	tooling	7515	220
tools/print-manual-gameplay-baseline.sh	shell	tooling	6257	173
tools/print-security-scan-baseline.sh	shell	tooling	4198	134
tools/print-share-status.sh	shell	tooling	9114	199
tools/record-manual-gameplay-result.sh	shell	tooling	6106	223
tools/record-security-scan-result.sh	shell	tooling	8938	279
tools/verify-crossover-mtg-state.sh	shell	tooling	11734	252
tools/verify-final-share-gates.sh	shell	tooling	2105	67
tools/verify-handoff-artifacts.sh	shell	tooling	4166	134
tools/verify-handoff-readiness.sh	shell	tooling	12512	234
tools/verify-install-tree.sh	shell	tooling	9142	156
tools/verify-manual-gameplay-results.sh	shell	tooling	6883	236
tools/verify-security-scan-results.sh	shell	tooling	4636	164
tools/verify-share-readiness.sh	shell	tooling	25304	587
